ID,Phys2Final,csem_pre,fmce_pre,Phys1Final,Percentile,Phys2A,VectorCalcPrior,Phys1A,Freshmen,MC,FR
300,68,18,46,70,97,0,1,0,1,38,30
412,76,19,36,89,100,0,1,0,1,38,38
370,72.5,12,17,87,100,0,1,0,1,36,36.5
174,74.5,10,19,84,93,0,0,0,1,36,38.5
198,73,15,33,95,100,0,1,0,1,36,37
269,80,7,26,78.5,98,0,1,0,1,40,40
362,77,29,NA,NA,NA,0,1,0,0,38,39
219,79.5,21,44,81,97,0,1,0,1,40,39.5
280,77,20,NA,NA,NA,0,1,0,0,38,39
215,64.5,14,NA,NA,NA,0,1,0,0,30,34.5
136,73.5,8,37,80,100,0,1,0,1,40,33.5
83,78,21,47,99,99,0,1,0,1,38,40
245,68,20,46,75,99,0,1,0,1,34,34
275,58,13,NA,NA,NA,0,1,0,0,34,24
309,48.5,10,39,61,97,0,1,0,1,24,24.5
97,78.5,12,42,83,96,0,1,1,1,40,38.5
67,74,NA,NA,NA,NA,0,0,0,0,34,40
162,64.5,15,NA,NA,NA,0,1,0,0,32,32.5
87,80,NA,47,97,100,0,0,0,1,40,40
228,61,8,37,73,92,0,1,0,1,28,33
171,79.5,20,NA,97,100,0,1,0,1,40,39.5
181,74,16,35,90,97,0,1,0,1,34,40
352,48.5,14,31,69,100,0,1,0,1,26,22.5
459,NA,14,13,71,91,0,0,0,1,0,0
157,72,17,NA,NA,NA,0,1,0,0,34,38
251,78,15,NA,NA,NA,0,1,0,0,38,40
57,63,14,15,79,100,0,1,0,1,32,31
167,80,10,29,93,100,0,1,0,1,40,40
146,75.5,15,41,91,95,0,1,0,1,40,35.5
29,67,7,23,79,95,0,1,0,1,38,29
237,75,15,42,92,96,0,1,0,1,36,39
318,77,29,47,94,97,0,1,0,1,38,39
133,76,3,17,80,97,1,0,1,1,38,38
51,66.5,10,13,92,97,0,1,0,1,34,32.5
368,60,16,NA,90,96,0,0,0,1,32,28
363,73.5,15,36,82,98,0,1,0,1,36,37.5
439,78.5,14,NA,NA,NA,0,1,0,0,40,38.5
361,78,24,NA,NA,NA,0,1,0,0,38,40
292,70,11,NA,NA,NA,0,1,0,0,38,32
310,56,6,17,70,85,0,1,0,1,26,30
252,74,12,42,88,98,0,1,0,1,36,38
268,78,22,46,96,100,0,1,0,1,40,38
413,68.5,0,45,71,95,0,1,0,1,36,32.5
18,79.5,25,45,93,98,0,0,0,1,40,39.5
409,80,18,NA,NA,NA,0,1,0,0,40,40
1,76.5,17,46,91,97,0,1,0,1,38,38.5
25,72,15,36,87,99,0,1,0,1,34,38
105,67.5,14,20,84,96,0,1,0,1,34,33.5
44,75.5,17,NA,NA,NA,0,1,0,0,38,37.5
366,76.5,25,45,95,97,0,1,0,1,38,38.5
78,66.5,11,28,87,92,0,0,0,1,32,34.5
194,72,8,12,83,94,0,0,1,1,36,36
378,67,15,NA,NA,NA,0,1,0,0,32,35
460,NA,17,38,86,96,0,1,0,1,0,0
272,43,7,22,55,100,0,0,0,1,20,23
290,66,14,38,81,94,0,1,0,1,32,34
92,74.5,15,47,92,88,0,1,0,1,38,36.5
297,79,22,45,96,100,0,1,0,1,40,39
326,52.5,9,28,74,95,0,1,0,1,26,26.5
119,20,8,14,70,89,0,0,0,1,18,2
30,61.5,7,12,81,89,0,1,0,1,30,31.5
48,62,12,38,75,99,0,1,0,1,30,32
159,69.5,18,NA,93,97,0,0,0,1,34,35.5
431,79,16,36,95,98,0,1,0,1,40,39
267,62.5,12,NA,96,77,0,0,0,1,26,36.5
86,68.5,11,11,91,91,0,0,0,1,32,36.5
