ID,Freshmen,Percentile,Phys1A,FinalExam,preFMCE
182,0,98,0,82,20
183,0,96,0,85,24
184,0,100,0,79,34
185,0,96,0,92,23
186,0,91,0,60,6
187,1,98,0,92,37
188,0,99,1,79,28
189,0,94,0,82,10
190,0,100,0,69.5,15
191,0,97,1,90,25
192,0,93,0,74,14
193,0,85,1,67,8
194,0,96,0,90,26
195,0,88,1,52,13
196,0,98,0,88,NA
197,0,97,1,60,8
198,0,93,0,76,NA
199,0,93,0,69,19
200,0,98,0,80,21
201,0,91,0,75,7
202,0,88,1,94,23
203,0,93,0,89,10
204,0,89,0,73.5,12
205,0,97,0,85.5,9
206,0,93,0,60,NA
207,0,100,0,84,22
208,0,89,1,NA,NA
209,0,91,0,49,13
210,0,92,0,55,14
211,0,87,0,55,9
212,1,96,0,84,19
213,0,94,0,86,12
214,0,97,0,73,22
215,0,96,0,83,27
216,0,98,0,86,17
217,0,96,0,77,14
218,0,100,0,83,16
219,0,88,1,63,9
220,0,77,0,1,NA
221,0,93,0,48,7
222,0,92,1,93,8
223,0,91,1,72.5,10
224,0,98,0,90,21
225,0,92,0,78.5,14
226,0,85,0,59,NA
227,0,95,0,44.5,15
228,0,91,0,37,8
229,0,91,0,51,7
230,0,96,1,71,31
231,0,79,0,13,10
232,0,79,1,64,3
233,0,98,0,13,16
234,1,85,0,64,NA
235,0,91,0,66,16
236,1,98,0,93,23
237,1,96,0,79,46
238,1,95,0,74,26
239,1,88,0,53,17
240,1,96,0,74,26
241,1,89,0,63,9
242,1,94,0,58.5,19
243,1,91,0,78,36
244,1,97,0,67,15
245,1,83,0,70.5,11
246,1,96,0,58,17
247,1,86,0,63.5,17
248,1,96,1,65,21
249,1,81,0,80,27
250,1,93,0,85,30
251,1,98,0,89,43
252,1,96,0,84,44
253,1,100,0,99,45
254,1,94,0,75,22
255,1,96,0,65,NA
256,1,92,0,84,36
257,1,87,0,78.5,28
258,1,96,0,86,28
259,1,96,0,92,NA
260,1,93,0,77,38
261,1,98,0,85,12
262,1,100,0,88,42
263,1,100,0,78,19
264,1,98,0,54,13
265,1,98,0,99,47
266,1,95,0,91,27
267,1,93,1,75,16
268,1,95,0,49.5,39
269,1,96,0,90,40
270,1,98,0,91,33
271,1,97,0,89,42
272,1,95,0,86,43
273,1,99,0,90,23
274,1,98,0,88,44
275,1,100,0,86,45
276,1,97,0,70,46
277,1,100,0,77.5,20
278,1,100,0,89,36
279,1,100,0,87,17
280,1,96,0,13,16
281,1,93,0,84,19
282,1,100,0,95,33
283,1,96,0,88,43
284,1,98,0,78.5,26
285,1,97,0,81,44
286,1,100,0,80,37
287,1,100,0,62,33
288,1,99,0,99,47
289,1,97,0,88.5,42
290,1,99,0,75,46
291,1,88,0,50.5,9
292,1,82,0,36,9
293,1,97,0,61,39
294,1,96,1,83,42
295,1,100,0,97,47
296,1,96,1,74,23
297,1,92,0,73,37
298,1,96,0,70,14
299,1,100,0,97,NA
300,1,97,0,90,35
301,1,85,0,NA,NA
302,1,100,0,92,17
303,1,100,0,69,31
304,1,91,0,71,13
305,1,97,0,85,NA
306,1,100,0,79,15
307,1,100,0,93,29
308,1,95,0,91,41
309,1,95,0,79,23
310,1,96,0,92,42
311,1,98,0,58,15
312,1,97,0,94,47
313,1,97,1,80,17
314,1,97,0,92,13
315,1,96,0,90,NA
316,1,98,0,82,36
317,1,96,0,84,24
318,1,95,1,85,6
319,1,97,0,72,26
320,1,85,0,70,17
321,1,98,0,88,42
322,1,100,0,72,44
