,Phys1A,Phys2A,Phys1Final,fmce_pre,Phys2Final,csem_pre,VectorCalcPrior,Percentile,Freshmen,MC,FR
140,0,0,NA,NA,25,19,1,NA,0,11,28
141,0,0,0.65,18,27,11,1,NA,1,11,32
142,0,0,NA,NA,31,24,1,NA,0,14,34
143,0,0,0.86,11,33,12,1,100,1,15,36
144,0,0,NA,NA,32.5,12,1,NA,0,15,35
145,0,0,NA,NA,38,17,1,NA,0,18,40
146,0,0,NA,NA,34.5,22,0,NA,0,18,33
147,0,0,0.71,39,36,14,1,96,1,18,36
148,0,0,0.8,46,32.5,NA,NA,100,1,15,35
149,0,0,0.795,NA,34.5,15,1,100,1,18,33
150,0,0,0.83,35,32,17,1,100,1,15,34
151,0,0,NA,NA,38.5,NA,NA,NA,0,20,37
152,0,0,NA,NA,36.5,15,1,NA,0,18,37
153,2,1,0.63,22,29.5,14,1,NA,1,14,31
154,0,0,NA,NA,35.5,11,1,NA,0,18,35
155,0,0,0.81,30,31.5,11,1,100,1,15,33
156,0,0,0.62,43,34,16,0,97,1,17,34
157,0,0,0.9,34,36.5,12,1,100,1,18,37
158,0,0,NA,NA,35.5,NA,NA,NA,0,17,37
159,2,0,0.63,11,26.5,15,0,97,1,9,35
160,0,0,0.94,28,38.5,15,0,92,1,20,37
161,0,0,0.76,16,38.5,4,1,100,1,19,39
162,0,0,NA,NA,30,18,1,NA,0,15,30
163,0,0,0.62,14,31,14,1,87,1,14,34
164,0,0,0.81,29,33.5,20,1,99,1,17,33
165,0,0,0.75,40,34,16,1,98,1,16,36
166,1,0,0.65,8,28,6,1,96,1,12,32
167,0,0,NA,NA,9,8,0,NA,0,6,6
168,0,0,0.83,26,30.5,16,1,96,1,14,33
169,0,0,0.63,10,29.5,14,1,95,1,13,33
170,0,1,0.83,17,38.5,14,0,NA,1,19,39
171,0,0,NA,NA,28.5,0,1,NA,0,15,27
172,0,0,NA,NA,36,24,1,NA,0,17,38
173,0,0,NA,NA,22,15,1,NA,0,10,24
