ID,DATETIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,baseline_mean,PASSIVE_OR_ACTIVE_FIRST,PASSIVE_MIDDLE,PASSIVE_OUT,PASSIVE_IN,ACTIVE_MIDDLE,ACTIVE_OUT,ACTIVE_IN,Sex,Age,PANAS_STATE_1,PANAS_STATE_2,PANAS_STATE_3,PANAS_STATE_4,PANAS_STATE_5,PANAS_STATE_6,PANAS_STATE_7,PANAS_STATE_8,PANAS_STATE_9,PANAS_STATE_10,PANAS_STATE_11,PANAS_STATE_12,PANAS_STATE_13,PANAS_STATE_14,PANAS_STATE_15,PANAS_STATE_16,PANAS_STATE_17,PANAS_STATE_18,PANAS_STATE_19,PANAS_STATE_20,PANAS_STATE_21,PA_STATE,NA_STATE,PANAS_TRAIT_1,PANAS_TRAIT_2,PANAS_TRAIT_3,PANAS_TRAIT_4,PANAS_TRAIT_5,PANAS_TRAIT_6,PANAS_TRAIT_7,PANAS_TRAIT_8,PANAS_TRAIT_9,PANAS_TRAIT_10,PANAS_TRAIT_11,PANAS_TRAIT_12,PANAS_TRAIT_13,PANAS_TRAIT_14,PANAS_TRAIT_15,PANAS_TRAIT_16,PANAS_TRAIT_17,PANAS_TRAIT_18,PANAS_TRAIT_19,PANAS_TRAIT_20,PANAS_TRAIT_21,PA_TRAIT,NA_TRAIT
38,2022-10-06 14:38:47,5,3,6,1,7,5,3,5,8,3,2,6,4,6,7,2,8,5,4,7,6,3,6,7,1,7,3,5,4,6,6,8,7,3,7,4,5,0,-1,-0.0833,0.5833,0.5833,0.1667,-0.6667,1,18,4,2,2,2,3,1,2,1,5,3,4,1,1,3,2,4,3,2,1,1,3,2.9,2,4,1,3,1,3,2,2,1,5,3,4,4,1,5,2,5,5,3,3,2,2,4,1.9
39,2022-10-12 14:52:31,3,8,8,6,5,3,8,2,5,8,7,8,2,6,1,3,7,5,7,4,7,5,8,7,1,2,4,3,5,3,5,7,8,2,4,6,5.083333333,0,0.1667,0.4167,0.1667,0.1667,0.75,-0.0833,1,19,3,1,3,1,4,3,1,1,3,4,3,2,1,4,1,4,5,2,2,1,1,3.4,1.5,3,1,4,1,5,2,1,1,4,4,2,4,1,4,2,4,5,2,3,1,1,4,1.4
41,2022-10-13 09:00:58,6,6,7,4,4,4,5,6,4,4,5,6,7,7,8,6,6,5,4,5,8,6,7,6,4,6,8,8,6,7,7,7,8,6,4,5,5.888888889,1,-1.1667,-1.1667,-1.75,-1.1667,-0.6667,-0.5833,1,18,4,1,2,1,3,1,1,1,4,3,1,2,1,3,1,3,4,1,2,1,1,3,1,4,1,3,1,3,1,1,1,5,3,1,4,1,4,1,3,4,1,4,1,1,3.7,1
42,2022-10-14 10:21:59,2,7,7,2,5,7,4,8,2,1,6,1,7,7,8,2,2,3,2,2,2,2,7,2,1,2,6,2,1,7,2,2,5,7,5,5,3.972222222,1,-0.9167,-0.5,-0.0833,1.25,-0.0833,-1.4167,0,20,4,1,1,1,1,1,2,1,2,1,1,4,1,3,5,2,2,4,3,1,5,2.3,2.2,3,1,3,1,1,1,3,1,2,1,2,2,1,2,4,2,2,4,2,1,4,2,2.2
43,2022-10-14 11:25:19,4,5,3,6,6,5,4,2,3,7,5,7,8,3,3,2,6,7,4,6,2,6,2,6,2,8,5,5,3,4,3,3,6,7,8,5,4.75,1,0.1667,0.0833,-0.1667,-0.0833,0.1667,-0.0833,1,19,4,1,2,1,3,2,1,1,3,2,1,3,1,2,1,3,4,1,2,1,2,2.8,1.2,4,2,3,2,3,4,1,1,3,3,2,3,1,3,2,4,4,2,3,2,2,3.3,1.9
44,2022-10-14 12:11:25,5,5,6,4,3,4,4,5,5,7,6,6,5,5,5,4,5,5,4,6,7,4,4,5,3,5,4,4,5,6,5,6,5,5,6,5,4.944444444,1,0.1667,0.5833,0.4167,0.5833,-0.0833,0.1667,1,20,2,1,2,1,2,1,1,1,2,4,2,3,1,3,2,4,4,1,3,1,2,2.9,1.3,4,2,3,2,4,1,2,1,4,4,3,4,1,3,3,4,4,2,4,2,2,3.8,1.9
45,2022-10-14 14:28:30,5,4,7,8,4,3,6,3,1,6,4,7,5,8,6,8,4,7,2,2,6,7,6,7,7,7,7,3,6,4,5,2,4,5,6,5,5.194444444,0,-0.1667,-0.4167,0.0833,0.9167,-0.75,-0.3333,1,20,3,2,2,2,4,1,1,1,3,3,3,1,1,3,2,3,4,4,2,1,1,2.8,1.8,5,1,4,2,5,2,1,1,3,4,2,5,1,5,4,4,4,3,4,1,2,4.3,1.9
47,2022-10-17 09:36:08,4,3,5,7,6,5,7,4,5,4,8,6,4,6,3,2,6,8,2,4,6,7,5,4,2,8,8,7,1,2,1,4,4,5,8,6,4.916666667,1,0.0833,0.4167,0.25,0.5833,0,0.1667,0,18,5,1,4,2,4,1,2,1,4,2,3,3,1,5,3,5,4,2,4,1,1,4,1.7,5,2,4,2,5,2,1,2,4,3,3,4,1,5,3,5,4,3,3,2,1,4.2,2
48,2022-10-17 10:35:06,5,5,4,5,4,5,5,5,5,6,3,6,4,4,5,5,4,4,5,4,5,6,4,6,3,6,4,4,5,4,3,5,6,5,5,5,4.694444444,0,0.0833,-0.0833,0.5,0.25,0.4167,-0.0833,1,19,4,1,2,1,3,1,1,1,4,3,1,3,1,3,1,3,4,1,3,1,2,3.2,1.1,4,1,1,1,3,1,1,1,3,3,2,3,1,3,1,4,4,1,4,1,2,3.2,1.2
49,2022-10-17 11:34:26,5,4,6,3,4,7,6,4,4,7,6,7,6,3,5,2,5,4,4,5,7,8,6,5,6,7,7,6,2,1,8,6,4,5,6,5,5.166666667,1,-0.4167,-0.5,0,0.0833,0.1667,-1.25,1,20,4,1,2,1,4,1,1,1,3,3,2,2,1,3,1,3,3,1,2,1,1,2.9,1.1,4,2,3,2,5,2,1,1,3,4,2,3,1,3,2,3,4,3,3,2,1,3.5,1.7
