GENDER	AGE	PT1	LT1	STEP1	TT1	RESULT1	PT2	LT2	STEP2	TT2	RESULT2	PT3	LT3	STEP3	TT3	RESULT3	PT4	LT4	STEP4	TT4	RESULT4	PT5	LT5	STEP5	TT5	RESULT5	PT6	LT6	STEP6	TT6	RESULT6	PT7	LT7	STEP7	TT7	RESULT7	PT8	LT8	STEP8	TT8	RESULT8	PT9	LT9	STEP9	TT9	RESULT9	PT10	LT10	STEP10	TT10	RESULT10
1	25.5	8453	9781	50	41813	1	7219	8250	17	12485	1	13110	15141	20	22938	1	11828	16141	27	26266	1	16469	23188	42	31250	1	19859	22125	23	27922	1	30172	40843	36	50578	1	10781	12109	39	25328	1	19203	20000	46	39015	1	50687	52265	50	70297	1
0	20.92	10531	14859	45	53547	1	19532	21641	17	29703	1	7000	14188	28	22735	1	14718	16281	27	26968	1	5797	13766	42	25047	1	7735	11719	23	19328	1	52687	57234	36	69547	1	10875	12219	39	26813	1	28235	31266	44	56032	1	8093	17437	46	42375	1
1	19.92	5985	17094	56	57828	1	13656	14297	17	22094	1	11000	14015	20	20140	1	4547	5500	29	12578	1	11812	17203	44	26344	1	10828	12500	23	17547	1	11094	15875	51	36891	1	6437	8172	41	19734	1	4344	9515	44	30015	1	40094	53063	48	67875	1
0	19.58	13250	14734	45	31563	1	63391	64344	17	68469	1	13453	17594	20	24656	1	16766	17766	27	27844	1	16891	24032	42	36125	1	22969	25094	23	31907	1	20515	32437	45	47203	1	6157	7797	39	19688	1	17813	20985	44	38531	1	41641	43516	48	66875	1
1	24.5	14844	15938	46	46688	1	17359	18250	17	21734	1	7953	12234	20	16500	1	14485	15282	29	22672	1	10203	14093	42	20109	1	7422	8922	23	12766	1	11469	15406	36	27063	1	14219	15375	41	29391	1	11015	12734	44	27765	1	11563	13750	46	32094	1
1	27	2141	6907	46	21407	1	7016	16312	17	21031	1	14313	17172	22	22406	1	4875	6297	27	14187	1	1468	11812	42	18156	1	2328	5062	23	9047	1	4953	8219	49	19672	1	6078	7500	41	17031	1	6203	9562	46	30234	1	12844	14375	46	27344	1
1	22.92	4688	15016	54	41172	1	1766	17094	19	21907	1	7343	14062	22	22000	1	2296	10062	29	19734	1	1703	17859	42	27922	1	1657	6172	23	12219	1	9375	63234	42	72937	1	1187	12141	47	26422	1	1297	9578	46	26750	1	16468	18422	54	38218	1
1	22.83	1782	5250	47	21328	1	12188	13625	17	16875	1	7360	8750	22	14266	1	9625	10828	29	17750	1	11094	16453	44	25547	1	3093	4765	23	9640	1	12625	16016	36	23484	1	4953	6781	41	19812	1	8656	10000	44	22031	1	13047	18454	46	30407	1
0	18.75	10016	11547	56	43266	1	18562	19875	17	25484	1	8437	10500	22	18109	1	12531	14000	27	22703	1	10219	18125	42	29156	1	3657	9735	23	23094	1	33125	37766	36	46625	1	9141	15250	39	34375	1	9765	24969	44	41906	1	16063	19766	48	35047	1
0	19.25	108969	110047	46	128125	1	9141	9797	17	13547	1	24922	26047	20	30844	1	16250	17375	27	24469	1	8172	12610	42	20563	1	6859	8484	23	12672	1	13469	16219	36	23328	1	53109	54344	39	64500	1	750	7859	48	29953	1	35016	36688	46	50641	1
1	21.25	46828	48297	46	60907	1	12172	18734	17	23375	1	60844	95094	20	152828	1	65609	66234	27	118406	1	48250	57953	42	78594	1	17860	47844	23	52453	1	21500	31906	36	42797	1	29672	30765	33	41109	1	185125	185922	44	236829	1	117609	119140	46	181968	1
