"GENDER" "AGE" "PT1" "LT1" "STEP1" "TT1" "RESULT1" "PT2" "LT2" "STEP2" "TT2" "RESULT2" "PT3" "LT3" "STEP3" "TT3" "RESULT3" "PT4" "LT4" "STEP4" "TT4" "RESULT4" "PT5" "LT5" "STEP5" "TT5" "RESULT5" "PT6" "LT6" "STEP6" "TT6" "RESULT6" "PT7" "LT7" "STEP7" "TT7" "RESULT7" "PT8" "LT8" "STEP8" "TT8" "RESULT8" "PT9" "LT9" "STEP9" "TT9" "RESULT9" "PT10" "LT10" "STEP10" "TT10" "RESULT10"
"41" 0 21.08 4859 6547 45 31797 1 10625 11625 17 15625 1 12250 15062 7 30969 0 15296 17765 27 25250 1 11062 15812 42 25468 1 35625 37390 23 45109 1 14313 18828 36 34344 1 8328 10812 39 30469 1 12437 13484 44 33922 1 18812 21391 46 43828 1
"42" 0 20.5 22859 23937 46 36187 1 27656 28515 17 32765 1 10031 11156 22 18453 1 14625 15515 29 25546 1 15688 20094 42 30329 1 46313 49359 23 60344 1 27422 35672 36 52016 1 25110 26282 39 35813 1 64235 65313 46 78094 1 11687 13078 46 30422 1
"43" 0 21.5 63500 65422 45 123782 1 83953 88703 17 96062 1 30500 32109 20 38984 1 93171 94640 29 118359 1 69344 77219 44 90266 1 33281 41562 23 60281 1 177328 182140 47 213531 1 222328 231391 33 304703 1 124531 125844 44 157156 1 57968 61562 47 85906 1
"44" 0 21.5 20719 23125 46 53328 1 39906 41328 17 47656 1 36438 41704 22 59938 1 16906 20891 29 36266 1 31516 38328 42 50531 1 58656 62156 23 72531 1 31140 33937 25 126406 0 128500 131625 39 154625 1 144062 145640 46 179250 1 122109 124531 46 160500 1
"45" 0 20.333 169734 171078 46 192531 1 11593 13218 17 17406 1 31063 33578 20 86828 1 36312 37266 27 51250 1 20891 26469 42 46547 1 12547 14500 29 38266 1 23500 48953 36 56140 1 39500 41031 39 78781 1 45562 46625 44 63734 1 173860 175250 46 200360 1
"46" 1 21.6668 31953 33281 52 49578 1 14422 15719 17 20031 1 7203 8500 22 13015 1 9484 10438 27 17750 1 11891 16110 42 22422 1 10843 12765 23 18281 1 56563 59547 36 67250 1 16266 17672 39 27594 1 20563 20797 46 41688 1 20672 22094 46 35110 1
"47" 0 20.08 8422 9672 50 29516 1 35734 36469 17 41016 1 38656 40046 22 45781 1 7172 8062 27 14109 1 40375 44687 42 51421 1 17484 19281 23 23828 1 34609 35797 9 42547 0 7156 9172 31 37672 0 9766 10578 50 34047 1 21813 23781 14 39719 0
"48" 0 20.833 11219 13437 46 34312 1 18547 24531 17 29859 1 23156 24531 20 36922 1 19250 21297 29 38500 1 24891 33156 42 43156 1 23485 25469 4 47594 0 131953 138891 36 149391 1 2609 12515 13 43187 0 19343 20500 46 45968 1 65844 67797 46 143204 1
"49" 0 20.667 19375 21625 46 47313 1 16859 18062 17 23718 1 14625 16187 20 23203 1 16063 17703 27 29610 1 16484 22906 42 34750 1 21531 24281 23 31969 1 21390 26812 36 42046 1 24609 26953 33 48500 1 11407 15797 44 65954 1 39938 42625 46 62969 1
"50" 0 21.333 12078 13437 48 34187 1 101562 102766 17 109672 1 14578 15546 25 41921 0 9266 10375 27 19328 1 17469 18953 35 40859 0 8406 10531 17 19859 0 10656 13578 36 23109 1 7250 8484 39 22797 1 7890 8875 9 18625 0 6859 8422 46 26500 1
"51" 1 20.333 17031 18359 52 37687 1 13938 14953 17 18578 1 28938 30063 20 34313 1 27765 28562 32 35484 1 8953 13312 42 19687 1 15610 18203 23 22750 1 16062 18078 29 27016 1 30890 32156 33 42156 1 8172 9062 46 31390 1 13375 14703 46 26500 1
"52" 0 20.917 3703 5297 48 23875 1 9281 19828 19 23906 1 5062 9609 24 16234 1 11984 12844 27 20016 1 5203 17812 38 29172 0 17703 19766 25 25500 1 11969 14438 9 18297 0 6828 8328 39 18328 1 25141 25625 54 56156 1 6296 8468 8 17781 0
"53" 0 21.583 7422 12266 46 48969 1 9984 12531 8 31390 0 12734 40469 20 57156 1 10125 12938 27 44969 1 26375 36500 44 55954 1 6704 14875 27 28516 1 9812 16969 28 52031 0 7844 10547 39 43078 1 13000 14454 48 70172 1 30656 34109 12 66406 0
