pair	pp	group	sentence	spk_thisTrial	voice	wavfile	trial	rating	rt	participant	voiceC	trialC	recognition	simRatingPair
1_4	1	E	37	4	other	spk4_37.wav	57	1	2.17468094826	1	0.5	-0.261506276150628	0.233333333333333	2.7
1_4	1	E	54	4	other	spk4_54.wav	155	2	1.83988499641	1	0.5	0.148535564853556	0.233333333333333	2.7
1_4	1	E	36	4	other	spk4_36.wav	18	2	1.80749106407	1	0.5	-0.424686192468619	0.233333333333333	2.7
1_4	1	E	9	4	other	spk4_9.wav	118	1	0.904511928558	1	0.5	-0.00627615062761505	0.233333333333333	2.7
1_4	1	E	51	4	other	spk4_51.wav	105	1	0.771562099457	1	0.5	-0.0606694560669456	0.233333333333333	2.7
1_4	1	E	50	4	other	spk4_50.wav	145	1	0.902926921844	1	0.5	0.106694560669456	0.233333333333333	2.7
1_4	1	E	33	4	other	spk4_33.wav	201	2	0.770503044128	1	0.5	0.341004184100418	0.233333333333333	2.7
1_4	1	E	46	4	other	spk4_46.wav	120	2	2.77639603615	1	0.5	0.002092050209205	0.233333333333333	2.7
1_4	1	E	39	4	other	spk4_39.wav	176	1	0.837224960327	1	0.5	0.236401673640167	0.233333333333333	2.7
1_4	1	E	21	4	other	spk4_21.wav	204	3	2.45830702782	1	0.5	0.353556485355649	0.233333333333333	2.7
1_4	1	E	28	4	other	spk4_28.wav	71	3	0.788276195526	1	0.5	-0.202928870292887	0.233333333333333	2.7
1_4	1	E	38	4	other	spk4_38.wav	191	2	1.13802504539	1	0.5	0.299163179916318	0.233333333333333	2.7
1_4	1	E	57	4	other	spk4_57.wav	59	2	2.32472896576	1	0.5	-0.253138075313807	0.233333333333333	2.7
1_4	1	E	4	4	other	spk4_4.wav	74	2	0.735040903091	1	0.5	-0.190376569037657	0.233333333333333	2.7
1_4	1	E	2	4	other	spk4_2.wav	182	2	1.37266302109	1	0.5	0.261506276150628	0.233333333333333	2.7
1_4	1	E	11	4	other	spk4_11.wav	76	2	2.42506814003	1	0.5	-0.182008368200837	0.233333333333333	2.7
1_4	1	E	26	4	other	spk4_26.wav	90	2	1.90750193596	1	0.5	-0.123430962343096	0.233333333333333	2.7
1_4	1	E	60	4	other	spk4_60.wav	171	3	1.10392189026	1	0.5	0.215481171548117	0.233333333333333	2.7
1_4	1	E	16	4	other	spk4_16.wav	56	2	2.40906596184	1	0.5	-0.265690376569038	0.233333333333333	2.7
1_4	1	E	56	4	other	spk4_56.wav	13	3	1.78898286819	1	0.5	-0.445606694560669	0.233333333333333	2.7
1_4	1	E	15	4	other	spk4_15.wav	151	1	1.67111206055	1	0.5	0.131799163179916	0.233333333333333	2.7
1_4	1	E	8	4	other	spk4_8.wav	41	2	1.35380506516	1	0.5	-0.328451882845188	0.233333333333333	2.7
1_4	1	E	49	4	other	spk4_49.wav	141	2	1.78820300102	1	0.5	0.0899581589958159	0.233333333333333	2.7
1_4	1	E	17	4	other	spk4_17.wav	203	2	0.587296009064	1	0.5	0.349372384937239	0.233333333333333	2.7
1_4	1	E	13	4	other	spk4_13.wav	102	2	0.353250980377	1	0.5	-0.0732217573221757	0.233333333333333	2.7
1_4	1	E	40	4	other	spk4_40.wav	112	3	1.05517911911	1	0.5	-0.0313807531380753	0.233333333333333	2.7
1_4	1	E	10	4	other	spk4_10.wav	157	2	1.47031021118	1	0.5	0.156903765690377	0.233333333333333	2.7
1_4	1	E	19	4	other	spk4_19.wav	114	1	1.48969912529	1	0.5	-0.0230125523012552	0.233333333333333	2.7
1_4	1	E	25	4	other	spk4_25.wav	226	2	0.135670900345	1	0.5	0.445606694560669	0.233333333333333	2.7
1_4	1	E	53	4	other	spk4_53.wav	62	3	1.89022302628	1	0.5	-0.240585774058577	0.233333333333333	2.7
1_4	1	E	32	4	other	spk4_32.wav	79	2	1.68782687187	1	0.5	-0.169456066945607	0.233333333333333	2.7
