pp	group	sentence	spk_thisTrial	voice	wavfile	trial	rating	rt	participant	voiceC	trialC	pair
6	FALSE	5	16	other	spk16_5.wav	30	2	2.59237217903	6	0.5	0.269230769230769	6_16
6	FALSE	5	6	self	spk6_5.wav	31	3	3.34594511986	6	-0.5	0.294871794871795	6_6
6	FALSE	6	16	other	spk16_6.wav	32	1	2.12235999107	6	0.5	0.32051282051282	6_16
6	FALSE	4	19	other	spk19_4.wav	33	1	0.18624997139	6	0.5	0.346153846153846	6_19
6	FALSE	4	6	self	spk6_4.wav	34	1	1.62473511696	6	-0.5	0.371794871794872	6_6
6	FALSE	8	6	self	spk6_8.wav	35	3	2.60911393166	6	-0.5	0.397435897435897	6_6
6	FALSE	7	16	other	spk16_7.wav	36	2	3.29193305969	6	0.5	0.423076923076923	6_16
6	FALSE	3	16	other	spk16_3.wav	37	2	1.40472912788	6	0.5	0.448717948717949	6_16
6	FALSE	10	3	other	spk3_10.wav	38	2	3.39437818527	6	0.5	0.474358974358974	6_3
6	FALSE	7	19	other	spk19_7.wav	39	2	1.45635700226	6	0.5	0.5	6_19
7	A	3	7	self	spk7_3.wav	0	1	1.95747494698	7	-0.5	-0.5	7_7
7	A	4	21	other	spk21_4.wav	1	1	1.20532298088	7	0.5	-0.474358974358974	7_21
7	A	9	17	other	spk17_9.wav	2	1	0.0508868694305	7	0.5	-0.448717948717949	7_17
7	A	5	25	other	spk25_5.wav	3	1	0.303908109665	7	0.5	-0.423076923076923	7_25
7	A	6	17	other	spk17_6.wav	4	1	0.554255962372	7	0.5	-0.397435897435897	7_17
7	A	10	7	self	spk7_10.wav	5	1	1.27140212059	7	-0.5	-0.371794871794872	7_7
7	A	1	7	self	spk7_1.wav	6	1	0.351912975311	7	-0.5	-0.346153846153846	7_7
7	A	4	7	self	spk7_4.wav	7	1	0.118027925491	7	-0.5	-0.32051282051282	7_7
7	A	2	7	self	spk7_2.wav	8	1	0.503429889679	7	-0.5	-0.294871794871795	7_7
7	A	8	25	other	spk25_8.wav	9	1	0.0671617984772	7	0.5	-0.269230769230769	7_25
7	A	1	17	other	spk17_1.wav	10	1	0.253229856491	7	0.5	-0.243589743589744	7_17
7	A	5	7	self	spk7_5.wav	11	1	0.268523931503	7	-0.5	-0.217948717948718	7_7
7	A	10	17	other	spk17_10.wav	12	1	0.802238941193	7	0.5	-0.192307692307692	7_17
7	A	6	25	other	spk25_6.wav	13	1	0.437428951263	7	0.5	-0.166666666666667	7_25
7	A	8	7	self	spk7_8.wav	14	1	0.236448049545	7	-0.5	-0.141025641025641	7_7
7	A	2	25	other	spk25_2.wav	15	1	0.352530002594	7	0.5	-0.115384615384615	7_25
7	A	6	21	other	spk21_6.wav	16	1	0.102650880814	7	0.5	-0.0897435897435898	7_21
7	A	5	17	other	spk17_5.wav	17	1	0.368656873703	7	0.5	-0.0641025641025641	7_17
7	A	1	25	other	spk25_1.wav	18	1	0.303565979004	7	0.5	-0.0384615384615384	7_25
7	A	3	25	other	spk25_3.wav	19	1	0.267402172089	7	0.5	-0.0128205128205128	7_25
7	A	9	21	other	spk21_9.wav	20	1	0.303740024567	7	0.5	0.0128205128205128	7_21
7	A	2	17	other	spk17_2.wav	21	1	0.403155088425	7	0.5	0.0384615384615384	7_17
7	A	6	7	self	spk7_6.wav	22	1	0.220408916473	7	-0.5	0.0641025641025641	7_7
7	A	9	25	other	spk25_9.wav	23	1	0.319672107697	7	0.5	0.0897435897435898	7_25
7	A	10	21	other	spk21_10.wav	24	1	0.535001993179	7	0.5	0.115384615384615	7_21
7	A	4	17	other	spk17_4.wav	25	1	0.0857889652252	7	0.5	0.141025641025641	7_17
7	A	10	25	other	spk25_10.wav	26	1	0.537823915482	7	0.5	0.166666666666667	7_25
7	A	9	7	self	spk7_9.wav	27	1	0.320451974869	7	-0.5	0.192307692307692	7_7
7	A	3	17	other	spk17_3.wav	28	1	0.27040719986	7	0.5	0.217948717948718	7_17
7	A	7	7	self	spk7_7.wav	29	1	0.303750038147	7	-0.5	0.243589743589744	7_7
7	A	4	25	other	spk25_4.wav	30	1	0.202975034714	7	0.5	0.269230769230769	7_25
7	A	7	21	other	spk21_7.wav	31	1	0.0337159633636	7	0.5	0.294871794871795	7_21
7	A	1	21	other	spk21_1.wav	32	1	0.102743864059	7	0.5	0.32051282051282	7_21
7	A	2	21	other	spk21_2.wav	33	1	0.454388856888	7	0.5	0.346153846153846	7_21
7	A	7	25	other	spk25_7.wav	34	1	0.320667028427	7	0.5	0.371794871794872	7_25
7	A	8	21	other	spk21_8.wav	35	1	0.353989124298	7	0.5	0.397435897435897	7_21
7	A	3	21	other	spk21_3.wav	36	1	0.134093999863	7	0.5	0.423076923076923	7_21
7	A	7	17	other	spk17_7.wav	37	1	0.40194106102	7	0.5	0.448717948717949	7_17
7	A	5	21	other	spk21_5.wav	38	1	0.43447804451	7	0.5	0.474358974358974	7_21
7	A	8	17	other	spk17_8.wav	39	1	0.720877170563	7	0.5	0.5	7_17
8	C	4	5	other	spk5_4.wav	0	4	5.21324896812	8	0.5	-0.5	8_5
8	C	7	5	other	spk5_7.wav	1	3	3.19427394867	8	0.5	-0.474358974358974	8_5
8	C	7	8	self	spk8_7.wav	2	2	3.81274318695	8	-0.5	-0.448717948717949	8_8
8	C	6	8	self	spk8_6.wav	3	2	1.53948402405	8	-0.5	-0.423076923076923	8_8
8	C	8	10	other	spk10_8.wav	4	3	2.05837202072	8	0.5	-0.397435897435897	8_10
8	C	3	13	other	spk13_3.wav	5	2	1.84108400345	8	0.5	-0.371794871794872	8_13
8	C	7	10	other	spk10_7.wav	6	4	2.97741603851	8	0.5	-0.346153846153846	8_10
8	C	9	13	other	spk13_9.wav	7	3	2.37638998032	8	0.5	-0.32051282051282	8_13
8	C	6	5	other	spk5_6.wav	8	5	4.2800090313	8	0.5	-0.294871794871795	8_5
8	C	9	10	other	spk10_9.wav	9	5	2.39226388931	8	0.5	-0.269230769230769	8_10
8	C	1	10	other	spk10_1.wav	10	3	4.6487159729	8	0.5	-0.243589743589744	8_10
8	C	6	10	other	spk10_6.wav	11	3	2.12486004829	8	0.5	-0.217948717948718	8_10
8	C	2	8	self	spk8_2.wav	12	2	0.988426923752	8	-0.5	-0.192307692307692	8_8
8	C	3	5	other	spk5_3.wav	13	5	1.72362494469	8	0.5	-0.166666666666667	8_5
8	C	4	8	self	spk8_4.wav	14	2	1.67263102531	8	-0.5	-0.141025641025641	8_8
8	C	9	8	self	spk8_9.wav	15	1	2.22471880913	8	-0.5	-0.115384615384615	8_8
8	C	9	5	other	spk5_9.wav	16	4	2.25879383087	8	0.5	-0.0897435897435898	8_5
8	C	5	10	other	spk10_5.wav	17	3	1.45653796196	8	0.5	-0.0641025641025641	8_10
8	C	3	8	self	spk8_3.wav	18	3	2.00656294823	8	-0.5	-0.0384615384615384	8_8
8	C	5	8	self	spk8_5.wav	19	2	1.08892893791	8	-0.5	-0.0128205128205128	8_8
8	C	10	8	self	spk8_10.wav	20	1	2.54182386398	8	-0.5	0.0128205128205128	8_8
8	C	5	5	other	spk5_5.wav	21	5	1.07157588005	8	0.5	0.0384615384615384	8_5
8	C	7	13	other	spk13_7.wav	22	2	1.47301506996	8	0.5	0.0641025641025641	8_13
8	C	8	8	self	spk8_8.wav	23	2	1.48996400833	8	-0.5	0.0897435897435898	8_8
8	C	8	5	other	spk5_8.wav	24	5	0.620517015457	8	0.5	0.115384615384615	8_5
8	C	1	13	other	spk13_1.wav	25	5	4.81455683708	8	0.5	0.141025641025641	8_13
8	C	4	13	other	spk13_4.wav	26	4	0.668590068817	8	0.5	0.166666666666667	8_13
8	C	1	5	other	spk5_1.wav	27	5	1.40596795082	8	0.5	0.192307692307692	8_5
8	C	6	13	other	spk13_6.wav	28	3	0.5349650383	8	0.5	0.217948717948718	8_13
8	C	1	8	self	spk8_1.wav	29	2	1.27296185493	8	-0.5	0.243589743589744	8_8
8	C	10	13	other	spk13_10.wav	30	4	1.33897185326	8	0.5	0.269230769230769	8_13
8	C	2	5	other	spk5_2.wav	31	3	1.99140000343	8	0.5	0.294871794871795	8_5
8	C	8	13	other	spk13_8.wav	32	2	2.47330784798	8	0.5	0.32051282051282	8_13
8	C	10	10	other	spk10_10.wav	33	4	4.44668006897	8	0.5	0.346153846153846	8_10
8	C	5	13	other	spk13_5.wav	34	3	1.92420601845	8	0.5	0.371794871794872	8_13
8	C	3	10	other	spk10_3.wav	35	2	3.64455699921	8	0.5	0.397435897435897	8_10
8	C	10	5	other	spk5_10.wav	36	5	2.32489800453	8	0.5	0.423076923076923	8_5
8	C	2	10	other	spk10_2.wav	37	5	5.66818189621	8	0.5	0.448717948717949	8_10
8	C	2	13	other	spk13_2.wav	38	4	1.12252402306	8	0.5	0.474358974358974	8_13
8	C	4	10	other	spk10_4.wav	39	3	0.386596918106	8	0.5	0.5	8_10
9	D	1	2	other	spk2_1.wav	0	6	0.503508090973	9	0.5	-0.5	9_2
9	D	3	12	other	spk12_3.wav	1	4	4.37942004204	9	0.5	-0.474358974358974	9_12
9	D	6	2	other	spk2_6.wav	2	6	0.169055938721	9	0.5	-0.448717948717949	9_2
9	D	8	12	other	spk12_8.wav	3	6	1.52273082733	9	0.5	-0.423076923076923	9_12
9	D	7	9	self	spk9_7.wav	4	2	1.03666186333	9	-0.5	-0.397435897435897	9_9
9	D	1	20	other	spk20_1.wav	5	6	0.773152828217	9	0.5	-0.371794871794872	9_20
9	D	5	20	other	spk20_5.wav	6	6	1.22318100929	9	0.5	-0.346153846153846	9_20
9	D	10	9	self	spk9_10.wav	7	1	0.635677099228	9	-0.5	-0.32051282051282	9_9
9	D	10	12	other	spk12_10.wav	8	6	4.66259407997	9	0.5	-0.294871794871795	9_12
9	D	3	9	self	spk9_3.wav	9	1	0.921052932739	9	-0.5	-0.269230769230769	9_9
9	D	5	2	other	spk2_5.wav	10	6	0.653964042664	9	0.5	-0.243589743589744	9_2
9	D	2	20	other	spk20_2.wav	11	6	3.3600859642	9	0.5	-0.217948717948718	9_20
9	D	9	2	other	spk2_9.wav	12	6	0.970175981522	9	0.5	-0.192307692307692	9_2
9	D	3	2	other	spk2_3.wav	13	6	0.186205148697	9	0.5	-0.166666666666667	9_2
9	D	3	20	other	spk20_3.wav	14	6	0.686455965042	9	0.5	-0.141025641025641	9_20
9	D	10	2	other	spk2_10.wav	15	6	1.52303791046	9	0.5	-0.115384615384615	9_2
9	D	9	9	self	spk9_9.wav	16	1	0.219383955002	9	-0.5	-0.0897435897435898	9_9
9	D	10	20	other	spk20_10.wav	17	5	3.65944600105	9	0.5	-0.0641025641025641	9_20
9	D	4	12	other	spk12_4.wav	18	6	0.919877052307	9	0.5	-0.0384615384615384	9_12
9	D	8	9	self	spk9_8.wav	19	2	3.81174111366	9	-0.5	-0.0128205128205128	9_9
9	D	1	12	other	spk12_1.wav	20	3	2.62600708008	9	0.5	0.0128205128205128	9_12
9	D	4	9	self	spk9_4.wav	21	1	1.42083287239	9	-0.5	0.0384615384615384	9_9
9	D	5	12	other	spk12_5.wav	22	3	2.56048703194	9	0.5	0.0641025641025641	9_12
9	D	7	20	other	spk20_7.wav	23	6	0.486721992493	9	0.5	0.0897435897435898	9_20
